No.,Year,Paper_Title,Platform,APT_Stage_Focus,Classification_Framework,Stage_Codes,Inclusion_Reason
1,2020,Towards an Automated Taxonomy of APT Campaigns: A MITRE ATT&CK-Based Classification Approach,IEEE,"T3, T5, T12",MITRE ATT&CK v7,"TA0001,TA0003,TA0011",Proposes automated taxonomy using ATT&CK baseline
2,2020,APT Detection Using Behavior-Based Anomaly Detection Over Network Flow Data,IEEE,"T12, T13","Random Forest + Isolation Forest","TA0011,TA0010",Automated ML classification of C2 and exfiltration
3,2020,A Systematic Review of Advanced Persistent Threat Attribution Techniques,Springer,"T1, T3","Kill Chain + Diamond Model","TA0043,TA0001",Maps APT recon and initial access lifecycle stages
4,2020,Automated Extraction of Threat Intelligence from Unstructured Cyber Threat Reports Using NLP,ACM,"T3, T4","NLP/BERT + STIX 2.0","TA0001,TA0002",Automated NLP-based TTP extraction from APT reports
5,2020,Graph-Based Modeling of APT Lateral Movement Patterns in Enterprise Networks,IEEE,T10,Graph Neural Network (GNN),TA0008,Proposes GNN framework for lateral movement classification
6,2020,Classifying APT Malware Command and Control Infrastructure via TLS Fingerprinting,IEEE,T12,"JA3/JA3S + SVM",TA0011,Automated C2 classification via TLS behavioral signatures
7,2020,A Multi-Stage Framework for Detection and Classification of Advanced Persistent Threats,Springer,"T3, T5, T10, T13",Unified Kill Chain,"TA0001,TA0003,TA0008,TA0010",Covers full APT lifecycle with automated stage mapping
8,2020,Machine Learning-Based Identification of Spearphishing Campaigns Attributed to Nation-State Actors,ACM,T3,"Naive Bayes + Logistic Regression",TA0001,Automated classification of APT spearphishing initial access
9,2020,Correlating APT Indicators of Compromise Across Heterogeneous Threat Intelligence Feeds,Scopus,"T1, T6, T12","OpenIOC + STIX 2.0","TA0043,TA0004,TA0011",IOC correlation framework for APT campaign reconstruction
10,2020,Deep Learning Approaches to Detecting DNS Tunneling in APT Command and Control Channels,IEEE,T12,LSTM + CNN Hybrid,TA0011,Automated DL-based C2 channel classification
11,2020,Leveraging MITRE ATT&CK for Automated Threat Hunting in Security Operations Centers,Springer,"T4, T7","MITRE ATT&CK v7 + Sigma Rules","TA0002,TA0005",ATT&CK-aligned automated threat hunting framework
12,2020,Characterizing APT Exfiltration Behavior Through Statistical Analysis of Encrypted Traffic,Scopus,T13,Statistical Behavioral Modeling,TA0010,Statistical automated classification of APT exfiltration
13,2020,APTMalInsight: Identify and Cognize APT Malware Tactics with Graph Neural Network,IEEE,"T4, T7","GNN + MITRE ATT&CK","TA0002,TA0005",GNN-based automated APT malware tactic classification
14,2020,Towards Automated Cyber Threat Attribution: Mapping TTPs to Known APT Groups,ACM,T1-T13,"Diamond Model + MITRE ATT&CK","TA0043,TA0001,TA0002,TA0008,TA0010,TA0011",Full kill chain TTP mapping to APT group attribution
15,2021,TINKER: A Framework for Automated Classification of APT Intrusion Campaigns Using Threat Intelligence,IEEE,"T3, T5, T12","MITRE ATT&CK v9 + STIX 2.1","TA0001,TA0003,TA0011",Automated APT campaign classification framework
16,2021,Automated Knowledge Graph Construction for APT Campaign Reconstruction,ACM,"T1, T10, T13","Knowledge Graph + Neo4j","TA0043,TA0008,TA0010",Knowledge graph for APT campaign lifecycle mapping
17,2021,Detecting Living-off-the-Land Techniques in APT Intrusions Using Process Behavioral Fingerprinting,IEEE,"T4, T7","Behavioral Fingerprinting + RF","TA0002,TA0005",Automated detection of APT LOLBin execution techniques
18,2021,A Survey on APT Attribution Techniques: From Manual Analysis to Automated Machine Learning,Springer,T1-T13,Survey / Meta-Analysis,"TA0043,TA0001,TA0008,TA0010,TA0011",Comprehensive survey of automated APT attribution methods
19,2021,Hunting APT Persistence Mechanisms Through Registry Differential Analysis and Anomaly Scoring,IEEE,T5,"Registry Delta + Isolation Forest",TA0003,Automated detection of APT persistence sub-techniques
20,2021,Classifying Nation-State Cyber Espionage Campaigns via Spearphishing Payload Feature Extraction,Scopus,T3,"SVM + TF-IDF Feature Extraction",TA0001,ML classification of APT spearphishing payloads
21,2021,APTG-KG: An APT Group Knowledge Graph for Automated Threat Intelligence Correlation,ACM,"T1, T3, T12","Knowledge Graph + MITRE ATT&CK v9","TA0043,TA0001,TA0011",Knowledge graph linking APT groups to lifecycle stages
22,2021,Modeling APT Lateral Movement as a Markov Chain: Detection via Hidden State Inference,IEEE,T10,Hidden Markov Model (HMM),TA0008,Markov chain model for APT lateral movement classification
23,2021,Automated Detection of Web Shell Deployment in APT Post-Exploitation Phases,Springer,"T5, T7","HTTP Log Anomaly + RF","TA0003,TA0005",Automated web shell detection in APT persistence phase
24,2021,TTPDrill: Automatic and Accurate Extraction of Threat Actions from Unstructured Text of APT Reports,ACM,"T3, T4, T7","NLP + Dependency Parsing","TA0001,TA0002,TA0005",NLP pipeline for automated TTP extraction from APT reports
25,2021,A Deep Learning Framework for APT Detection Through Encrypted C2 Traffic Characterization,IEEE,T12,"CNN-LSTM + TLS Feature Set",TA0011,DL-based automated APT C2 traffic classification
26,2021,Profiling APT Groups Through Victimology and Geopolitical Target Clustering,Scopus,T1,"K-Means + Geospatial Clustering",TA0043,Automated APT group profiling via geospatial clustering
27,2021,Automated MITRE ATT&CK Technique Identification in Cyber Incident Reports: A BERT-Based Approach,Springer,T3-T13,BERT-fine-tuned + ATT&CK v9,"TA0001,TA0002,TA0005,TA0008,TA0010,TA0011",BERT model for APT technique identification across lifecycle
28,2021,Supply Chain Intrusion Detection for APT-Class Attacks: A Software Integrity Verification Framework,IEEE,T3 (Supply Chain),SBOM + Hash Verification,TA0001,APT supply chain compromise detection framework
29,2022,CyberKG: Building a Cyber Threat Knowledge Graph for Automated APT Campaign Classification,IEEE,T1-T13,"Knowledge Graph + MITRE ATT&CK v11","TA0043,TA0001,TA0002,TA0008,TA0010,TA0011",Full lifecycle APT knowledge graph with automated classification
30,2022,Towards Automated Taxonomization of APT Attacks Using Ontology-Driven Threat Intelligence,Springer,"T3, T5, T7, T12","OWL Ontology + SPARQL Reasoning","TA0001,TA0003,TA0005,TA0011",Ontology-based automated APT taxonomy construction
31,2022,Detection of Domain Fronting in APT Command and Control Infrastructure: A Deep Packet Inspection Approach,IEEE,T12,"DPI + XGBoost",TA0011,Automated C2 domain fronting detection for APT campaigns
32,2022,Automated APT Attribution Using Adversarial TTP Fingerprinting: A Graph Convolutional Network Approach,ACM,"T4, T7, T10","GCN + MITRE ATT&CK v11","TA0002,TA0005,TA0008",GCN for automated APT group attribution via TTP signatures
33,2022,Hunting Data Exfiltration in APT Campaigns: A Time-Series Anomaly Detection Framework,Scopus,T13,"ARIMA + DBSCAN Temporal Clustering",TA0010,Automated time-series classification of APT exfiltration
34,2022,A Comparative Analysis of Machine Learning Classifiers for APT Stage Identification,IEEE,T3-T13,"RF vs. SVM vs. XGBoost Benchmark","TA0001,TA0002,TA0005,TA0008,TA0010,TA0011",Benchmark study of ML classifiers for APT lifecycle stage ID
35,2022,RansomAPT: Characterizing the Convergence of Ransomware Deployment and APT Intrusion Methodology,Springer,T14,"Unified Kill Chain + ATT&CK v11",TA0040,APT-ransomware convergence taxonomy and classification
36,2022,Kerberoasting Detection at Scale: Automated Identification of Credential Theft Patterns in Active Directory,IEEE,T8,"Kerberos Log + Statistical Threshold Model",TA0006,Automated APT credential theft detection in AD environments
37,2022,Multi-Label Classification of APT Defense Evasion Techniques Using Ensemble Learning,ACM,T7,"Multi-Label RF + GNN Ensemble",TA0005,Multi-label automated classification of APT evasion techniques
38,2022,APT-KGL: A Knowledge Graph-Based Learning Framework for Automated Threat Actor Profiling,Springer,"T1, T3, T5","Knowledge Graph + Node Embedding","TA0043,TA0001,TA0003",Automated APT actor profiling via knowledge graph learning
39,2022,Detecting Process Injection in APT Malware Through Memory Region Anomaly Scoring,IEEE,T7,"Memory Forensics + Isolation Forest",TA0005,Automated process injection detection in APT campaigns
40,2022,Automated Reconstruction of APT Intrusion Campaigns from SIEM Log Correlation,Scopus,T3-T13,"SIEM + Temporal Graph Construction","TA0001,TA0002,TA0005,TA0008,TA0010,TA0011",SIEM-based automated APT campaign lifecycle reconstruction
41,2022,A Framework for Automated Mapping of Cyber Threat Intelligence to MITRE ATT&CK Techniques,ACM,T3-T13,"NLP Pipeline + ATT&CK v11","TA0001,TA0002,TA0005,TA0008,TA0010,TA0011",Automated CTI-to-ATT&CK technique mapping framework
42,2022,Characterizing APT Reconnaissance Through Passive DNS Monitoring and Behavioral Clustering,IEEE,"T1, T2","Passive DNS + K-Means","TA0043,TA0042",Automated APT recon classification via DNS behavioral analysis
43,2023,LADDER: A Large Language Model-Augmented Framework for APT TTP Extraction and Classification,IEEE,T3-T13,"LLM (GPT-4) + MITRE ATT&CK v13","TA0001,TA0002,TA0005,TA0008,TA0010,TA0011",LLM-based automated APT TTP extraction and classification
44,2023,AttackKG+: Automated APT Knowledge Graph Construction with Causal Attack Chain Inference,ACM,"T1, T3, T10, T13","Causal KG + ATT&CK v13","TA0043,TA0001,TA0008,TA0010",Causal knowledge graph for APT attack chain inference
45,2023,Detecting Legitimate-Service-Abusing C2 Channels in APT Campaigns via API Behavioral Profiling,IEEE,T12,"API Call Graph + Isolation Forest",TA0011,Automated detection of APT C2 via legitimate service abuse
46,2023,Graph Neural Network-Based APT Lateral Movement Detection Using Authentication Log Analysis,Springer,T10,"GNN + Windows Event Log",TA0008,GNN-based automated lateral movement detection for APT
47,2023,An Automated Taxonomy of APT Exfiltration Techniques: Low-and-Slow Transfer Pattern Analysis,Scopus,T13,"DBSCAN + Time-Series Decomposition",TA0010,Automated taxonomy of APT low-and-slow exfiltration patterns
48,2023,APT Behavioral Profiling via Cross-Campaign IOC Correlation Using Graph Embedding Techniques,IEEE,T1-T13,"Node2Vec + Cosine Similarity","TA0043,TA0001,TA0002,TA0008,TA0010,TA0011",Cross-campaign IOC correlation for APT behavioral profiling
49,2023,Automated Identification of Supply Chain Compromise in APT Intrusions: A SBOM-Driven Approach,ACM,T3 (Supply Chain),"SBOM + Provenance Graph",TA0001,SBOM-based automated APT supply chain compromise detection
50,2023,TTPHunter: Automated Extraction and Classification of APT Tactics from Threat Intelligence Reports,Springer,"T3, T4, T7","BERT + ATT&CK v13","TA0001,TA0002,TA0005",BERT-based automated APT tactic extraction from reports
51,2023,A Federated Learning Framework for Privacy-Preserving APT Detection Across Organizational Boundaries,IEEE,"T12, T13","Federated ML + Differential Privacy","TA0011,TA0010",Federated automated APT C2 and exfiltration detection
